original,translation
Left SMC supplementary motor cortex,leftsmcsupplementarymotorcortex
Right SMG supramarginal gyrus,rightsmgsupramarginalgyrus
Left SMG supramarginal gyrus,leftsmgsupramarginalgyrus
Right SOG superior occipital gyrus,rightsogsuperioroccipitalgyrus
Left SOG superior occipital gyrus,leftsogsuperioroccipitalgyrus
Right SPL superior parietal lobule,rightsplsuperiorparietallobule
Left SPL superior parietal lobule,leftsplsuperiorparietallobule
Right STG superior temporal gyrus,rightstgsuperiortemporalgyrus
Left STG superior temporal gyrus,leftstgsuperiortemporalgyrus
Right TMP temporal pole,righttmptemporalpole
Left TMP temporal pole,lefttmptemporalpole
Right TrIFG triangular part of the inferior frontal gyrus,righttrifgtriangularpartoftheinferiorfrontalgyrus
Left TrIFG triangular part of the inferior frontal gyrus,lefttrifgtriangularpartoftheinferiorfrontalgyrus
Right TTG transverse temporal gyrus,rightttgtransversetemporalgyrus
Left TTG transverse temporal gyrus,leftttgtransversetemporalgyrus
Intracraneal,tiv
